IP Address, Port, TLS, Data Center, Region, City, ASN, latency

43.229.149.251,8443,true,SIN,Asia Pacific,Singapore,56309,6 ms
128.1.79.171,587,true,SIN,Asia Pacific,Singapore,135377,7 ms
150.95.25.108,2053,true,BKK,Asia Pacific,Bangkok,135161,8 ms
45.144.167.46,19816,true,SIN,Asia Pacific,Singapore,56309,8 ms
212.80.213.45,31244,true,SIN,Asia Pacific,Singapore,56309,13 ms
43.229.149.251,2053,true,SIN,Asia Pacific,Singapore,56309,14 ms
150.95.25.108,8443,true,BKK,Asia Pacific,Bangkok,135161,19 ms
129.150.50.21,44009,true,SIN,Asia Pacific,Singapore,31898,28 ms
150.109.94.144,8900,true,SIN,Asia Pacific,Singapore,132203,28 ms
91.192.81.154,2053,true,SIN,Asia Pacific,Singapore,8849,28 ms
129.150.49.58,18650,true,SIN,Asia Pacific,Singapore,31898,28 ms
167.253.158.63,2053,true,SIN,Asia Pacific,Singapore,59253,28 ms
15.235.199.103,8443,true,SIN,Asia Pacific,Singapore,16276,29 ms
146.235.18.248,45137,true,SIN,Asia Pacific,Singapore,31898,29 ms
8.219.14.21,23943,true,SIN,Asia Pacific,Singapore,45102,29 ms
139.180.215.77,57878,true,SIN,Asia Pacific,Singapore,20473,29 ms
185.81.29.113,8080,true,SIN,Asia Pacific,Singapore,61112,29 ms
45.136.238.235,24370,true,SIN,Asia Pacific,Singapore,9335,29 ms
138.2.89.64,32962,true,SIN,Asia Pacific,Singapore,31898,29 ms
128.199.171.100,8443,true,SIN,Asia Pacific,Singapore,14061,29 ms
194.127.193.124,24467,true,SIN,Asia Pacific,Singapore,59253,29 ms
138.2.89.238,43254,true,SIN,Asia Pacific,Singapore,31898,29 ms
5.223.49.4,2053,true,SIN,Asia Pacific,Singapore,215859,29 ms
143.198.196.196,8443,true,SIN,Asia Pacific,Singapore,14061,29 ms
138.2.100.221,26621,true,SIN,Asia Pacific,Singapore,31898,29 ms
43.156.116.194,443,true,SIN,Asia Pacific,Singapore,132203,29 ms
43.245.198.240,587,true,SIN,Asia Pacific,Singapore,63916,29 ms
194.127.193.240,50791,true,SIN,Asia Pacific,Singapore,59253,29 ms
146.235.19.79,28983,true,SIN,Asia Pacific,Singapore,31898,29 ms
194.36.179.5,2053,true,SIN,Asia Pacific,Singapore,200740,29 ms
129.150.58.86,57621,true,SIN,Asia Pacific,Singapore,31898,29 ms
161.117.249.114,2025,true,SIN,Asia Pacific,Singapore,45102,29 ms
163.47.9.27,8443,true,SIN,Asia Pacific,Singapore,14061,29 ms
38.54.16.95,2053,true,SIN,Asia Pacific,Singapore,138915,29 ms
138.2.101.213,15204,true,SIN,Asia Pacific,Singapore,31898,29 ms
31.192.238.71,2053,true,SIN,Asia Pacific,Singapore,44493,29 ms
178.128.80.43,443,true,SIN,Asia Pacific,Singapore,14061,29 ms
129.150.36.188,53435,true,SIN,Asia Pacific,Singapore,31898,29 ms
164.52.2.100,443,true,SIN,Asia Pacific,Singapore,63199,30 ms
45.32.100.46,13802,true,SIN,Asia Pacific,Singapore,20473,30 ms
64.49.14.41,8443,true,SIN,Asia Pacific,Singapore,396356,30 ms
13.250.131.37,443,true,SIN,Asia Pacific,Singapore,16509,30 ms
97.74.82.87,45837,true,SIN,Asia Pacific,Singapore,26496,30 ms
158.178.246.142,61731,true,SIN,Asia Pacific,Singapore,31898,30 ms
139.162.33.248,587,true,SIN,Asia Pacific,Singapore,63949,30 ms
150.109.24.233,6666,true,SIN,Asia Pacific,Singapore,132203,30 ms
138.2.81.243,45319,true,SIN,Asia Pacific,Singapore,31898,30 ms
168.138.166.213,10500,true,SIN,Asia Pacific,Singapore,31898,30 ms
194.36.179.17,8443,true,SIN,Asia Pacific,Singapore,200740,30 ms
38.60.193.247,13300,true,KUL,Asia Pacific,Kuala Lumpur,138915,30 ms
192.53.113.156,587,true,SIN,Asia Pacific,Singapore,63949,30 ms
8.219.59.132,48130,true,SIN,Asia Pacific,Singapore,45102,30 ms
206.206.76.208,2053,true,SIN,Asia Pacific,Singapore,215311,30 ms
3.1.116.161,2053,true,SIN,Asia Pacific,Singapore,16509,30 ms
43.156.181.203,443,true,SIN,Asia Pacific,Singapore,132203,30 ms
45.76.183.217,49292,true,SIN,Asia Pacific,Singapore,20473,30 ms
138.2.75.219,39341,true,SIN,Asia Pacific,Singapore,31898,30 ms
83.142.30.5,2096,true,SIN,Asia Pacific,Singapore,136510,31 ms
206.206.76.208,8443,true,SIN,Asia Pacific,Singapore,215311,31 ms
51.79.158.58,2053,true,SIN,Asia Pacific,Singapore,16276,31 ms
213.35.107.73,443,true,SIN,Asia Pacific,Singapore,31898,31 ms
194.36.179.17,2053,true,SIN,Asia Pacific,Singapore,200740,31 ms
15.235.199.103,2053,true,SIN,Asia Pacific,Singapore,16276,31 ms
138.2.74.219,28616,true,SIN,Asia Pacific,Singapore,31898,31 ms
64.49.14.41,2053,true,SIN,Asia Pacific,Singapore,396356,31 ms
152.69.221.114,23302,true,SIN,Asia Pacific,Singapore,31898,31 ms
164.52.2.99,443,true,SIN,Asia Pacific,Singapore,63199,31 ms
8.219.77.72,5027,true,SIN,Asia Pacific,Singapore,45102,31 ms
91.192.81.154,8443,true,SIN,Asia Pacific,Singapore,8849,32 ms
158.178.243.152,61731,true,SIN,Asia Pacific,Singapore,31898,32 ms
13.250.14.76,443,true,SIN,Asia Pacific,Singapore,16509,32 ms
128.199.171.100,2053,true,SIN,Asia Pacific,Singapore,14061,32 ms
143.198.196.196,2053,true,SIN,Asia Pacific,Singapore,14061,32 ms
168.138.181.188,61731,true,SIN,Asia Pacific,Singapore,31898,32 ms
8.222.243.73,26385,true,SIN,Asia Pacific,Singapore,45102,32 ms
104.248.145.216,443,true,SIN,Asia Pacific,Singapore,14061,32 ms
47.245.95.160,1443,true,SIN,Asia Pacific,Singapore,45102,32 ms
31.192.238.71,8443,true,SIN,Asia Pacific,Singapore,44493,32 ms
167.253.158.63,8443,true,SIN,Asia Pacific,Singapore,59253,32 ms
51.79.158.58,8443,true,SIN,Asia Pacific,Singapore,16276,33 ms
8.219.59.132,48964,true,SIN,Asia Pacific,Singapore,45102,33 ms
3.1.116.161,8443,true,SIN,Asia Pacific,Singapore,16509,33 ms
163.47.9.27,2053,true,SIN,Asia Pacific,Singapore,14061,33 ms
168.138.184.142,19191,true,SIN,Asia Pacific,Singapore,31898,33 ms
138.2.69.236,23334,true,SIN,Asia Pacific,Singapore,31898,33 ms
